"","Phylum_Reads","Family_Reads","Genus_Reads","ASV_Reads"
"E1_Skin_tr515F_tr515R_01",74581,74581,74581,74581
"E1_Skin_tr515F_tr515R_02",78274,78274,78274,78274
"E1_Skin_tr515F_tr515R_03",305319,305319,305319,305319
"E1_Skin_tr515F_tr515R_04",257084,257084,257084,257084
"E1_Skin_tr515F_tr515R_05",282433,282433,282433,282433
"E1_Skin_tr515F_tr515R_06",324207,324207,324207,324207
"E1_Skin_tr515F_tr515R_07",714299,714299,714299,714299
"E1_Skin_tr515F_tr515R_08",52096,52096,52096,52096
"E1_Skin_tr515F_806R_01",1,1,1,1
"E1_Skin_tr515F_806R_03",283143,283143,283143,283143
"E1_Skin_tr515F_806R_06",935280,935280,935280,935280
"E1_Skin_tr515F_806R_07",312396,312396,312396,312396
"E1_Skin_tr515F_806R_08",1214295,1214295,1214295,1214295
"E1_Skin_515F_tr515R_01",1,1,1,1
"E1_Skin_515F_tr515R_02",742849,742849,742849,742849
"E1_Skin_515F_tr515R_03",210841,210841,210841,210841
"E1_Skin_515F_tr515R_04",95407,95407,95407,95407
"E2_Neg_515F_806R_02",7389,7389,7389,7389
"E2_Neg_tr515F_tr515R_02",1,1,1,1
"E2_Neg_tr515F_806R_02",2743,2743,2743,2743
"E2_Neg_515F_tr515R_02",287,287,287,287
"E2_Soil_515F_806R_01",2,2,2,2
"E2_Soil_515F_806R_03",2166494,2166494,2166494,2166494
"E2_Soil_515F_806R_04",1989492,1989492,1989492,1989492
"E2_Soil_515F_806R_05",1659342,1659342,1659342,1659342
"E2_Soil_515F_806R_06",2403188,2403188,2403188,2403188
"E2_Soil_515F_806R_07",1814008,1814008,1814008,1814008
"E2_Soil_515F_806R_08",4185422,4185422,4185422,4185422
"E2_Soil_tr515F_tr515R_01",1032629,1032629,1032629,1032629
"E2_Soil_tr515F_tr515R_02",744616,744616,744616,744616
"E2_Soil_tr515F_tr515R_03",531240,531240,531240,531240
"E2_Soil_tr515F_tr515R_04",976640,976640,976640,976640
"E2_Soil_tr515F_tr515R_05",1068964,1068964,1068964,1068964
