"sample_name","sample_ID","Exp","Type","file_name","Rpl","Primer","primer_label","Group","Forward_Primer","Reverse_Primer","cName","QIIME_reads"
"D5_Wastewater_V8-tr515F_806R_04","D5_Water_V8.8-17.xC_04","D5","Wastewater","D5_Wastewater_C_8_17_04.fastq","04","V8.8-17.xC","V8","Ind","V8-tr515F","806R","D5_Wastewater_V8",394653
"D6_Skin_515F_806R_01","D6_Skin_StandardO_01","D6","Skin","D6_Skin_Full_01.fastq","01","StandardO","St","Pool","515F","806R","D6_Skin_St",1874063
"D6_Skin_515F_806R_02","D6_Skin_StandardO_02","D6","Skin","D6_Skin_Full_02.fastq","02","StandardO","St","Pool","515F","806R","D6_Skin_St",1974880
"D6_Skin_515F_806R_03","D6_Skin_StandardO_03","D6","Skin","D6_Skin_Full_03.fastq","03","StandardO","St","Pool","515F","806R","D6_Skin_St",2007898
"D6_Skin_515F_806R_04","D6_Skin_StandardO_04","D6","Skin","D6_Skin_Full_04.fastq","04","StandardO","St","Pool","515F","806R","D6_Skin_St",2502544
"D6_Skin_tr515F_806R_01","D6_Skin_TruncatedFO_01","D6","Skin","D6_Skin_Pool_01.fastq","01","TruncatedFO","Tr","Pool","tr515F","806R","D6_Skin_Tr",1391234
"D6_Skin_tr515F_806R_02","D6_Skin_TruncatedFO_02","D6","Skin","D6_Skin_Pool_02.fastq","02","TruncatedFO","Tr","Pool","tr515F","806R","D6_Skin_Tr",1376304
"D6_Skin_tr515F_806R_03","D6_Skin_TruncatedFO_03","D6","Skin","D6_Skin_Pool_03.fastq","03","TruncatedFO","Tr","Pool","tr515F","806R","D6_Skin_Tr",1736918
"D6_Skin_tr515F_806R_04","D6_Skin_TruncatedFO_04","D6","Skin","D6_Skin_Pool_04.fastq","04","TruncatedFO","Tr","Pool","tr515F","806R","D6_Skin_Tr",1703074
"D6_Skin_V1-tr515F_806R_01","D6_Skin_V1.2-12.CC_01","D6","Skin","D6_Skin_CC_2_12_01.fastq","01","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D6_Skin_V1",531255
"D6_Skin_V1-tr515F_806R_02","D6_Skin_V1.2-12.CC_02","D6","Skin","D6_Skin_CC_2_12_02.fastq","02","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D6_Skin_V1",449888
"D6_Skin_V1-tr515F_806R_03","D6_Skin_V1.2-12.CC_03","D6","Skin","D6_Skin_CC_2_12_03.fastq","03","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D6_Skin_V1",458204
"D6_Skin_V1-tr515F_806R_04","D6_Skin_V1.2-12.CC_04","D6","Skin","D6_Skin_CC_2_12_04.fastq","04","V1.2-12.CC","V1","Ind","V1-tr515F","806R","D6_Skin_V1",431535
"D6_Skin_V2-tr515F_806R_01","D6_Skin_V2.2-13.CA_01","D6","Skin","D6_Skin_CA_2_13_01.fastq","01","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D6_Skin_V2",435513
"D6_Skin_V2-tr515F_806R_02","D6_Skin_V2.2-13.CA_02","D6","Skin","D6_Skin_CA_2_13_02.fastq","02","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D6_Skin_V2",398776
"D6_Skin_V2-tr515F_806R_03","D6_Skin_V2.2-13.CA_03","D6","Skin","D6_Skin_CA_2_13_03.fastq","03","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D6_Skin_V2",563562
"D6_Skin_V2-tr515F_806R_04","D6_Skin_V2.2-13.CA_04","D6","Skin","D6_Skin_CA_2_13_04.fastq","04","V2.2-13.CA","V2","Ind","V2-tr515F","806R","D6_Skin_V2",437091
"D6_Skin_V3-tr515F_806R_01","D6_Skin_V3.3-14.TC_01","D6","Skin","D6_Skin_TC_3_14_01.fastq","01","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D6_Skin_V3",272593
"D6_Skin_V3-tr515F_806R_02","D6_Skin_V3.3-14.TC_02","D6","Skin","D6_Skin_TC_3_14_02.fastq","02","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D6_Skin_V3",340956
"D6_Skin_V3-tr515F_806R_03","D6_Skin_V3.3-14.TC_03","D6","Skin","D6_Skin_TC_3_14_03.fastq","03","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D6_Skin_V3",356811
"D6_Skin_V3-tr515F_806R_04","D6_Skin_V3.3-14.TC_04","D6","Skin","D6_Skin_TC_3_14_04.fastq","04","V3.3-14.TC","V3","Ind","V3-tr515F","806R","D6_Skin_V3",2503
