"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__SC-I-84",2,0,0,2,1,3,2,0,0,8,5,0,793,782,772,745,777,941,702,692,790,733,645,721,677,710
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomaceae",4,5,11,7,1,3,4,0,4,11,7,0,249,223,243,224,231,254,230,238,224,237,249,201,247,245
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae",26,29,34,45,32,14,39,40,25,42,20,36,246,187,246,173,199,236,181,173,154,171,191,162,163,229
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Beijerinckiaceae",31,46,31,23,31,17,35,26,23,33,29,33,29155,29823,28409,29987,30311,31126,26989,26864,26972,27503,27785,27524,28274,28634
"d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae",192,179,160,217,385,405,441,416,316,329,357,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured",2,2,1,3,0,0,1,4,0,0,1,0,704,643,699,700,751,610,579,613,655,616,694,610,507,467
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae",2,0,0,4,0,0,0,0,0,1,0,0,47,40,42,53,69,31,37,15,30,29,20,33,23,52
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae",16485,16683,16700,16651,15465,15999,16470,16429,16309,16414,16533,16582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae",594,465,524,516,1421,1182,1076,1008,1173,1085,957,990,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group",0,4,0,2,4,0,0,0,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Bryobacterales;f__Bryobacteraceae",0,1,0,1,4,2,0,0,0,0,0,0,2166,1883,2073,2080,2062,2209,1169,1122,1121,1180,1141,1155,1286,1290
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae",0,1,3,0,0,2,2,0,0,2,0,0,103,114,69,117,63,112,118,139,80,102,123,104,96,59
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__IMCC26256;f__IMCC26256",0,1,3,1,4,5,1,0,3,0,0,0,647,675,729,589,672,705,517,599,505,562,690,566,629,677
"d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae",3,9,3,2,0,13,6,1,9,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Reyranellales;f__Reyranellaceae",1,3,0,3,0,0,0,0,2,0,0,0,338,389,413,393,362,394,376,389,378,312,266,310,321,323
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Nitrosomonadaceae",1,0,3,0,0,0,4,0,6,0,3,3,1112,1095,1011,1089,1233,1193,961,933,951,1104,1054,1094,1051,1116
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__uncultured;f__uncultured",0,2,0,1,4,0,1,0,0,0,0,0,44,29,66,42,20,34,24,49,34,31,38,38,23,43
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Paenibacillales;f__Paenibacillaceae",1,1,6,0,9,4,0,2,1,0,0,5,260,313,220,274,311,319,282,265,261,252,262,191,248,246
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Iamiaceae",4,0,2,0,0,3,3,0,0,7,0,0,180,192,198,204,187,160,159,136,162,173,157,149,153,130
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Morganellaceae",4,3,5,1,2,0,3,3,4,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190",3,0,0,4,0,0,3,0,0,0,5,0,70,55,54,71,45,32,96,98,79,46,77,85,61,89
"d__Bacteria;p__Actinobacteriota;c__Rubrobacteria;o__Rubrobacterales;f__Rubrobacteriaceae",0,0,2,1,0,0,0,4,1,0,0,0,19772,19305,19966,20541,20704,21090,17496,17354,16821,16569,17042,17565,18372,19331
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Geodermatophilaceae",5,10,4,5,0,2,8,0,3,3,10,0,11523,12362,12629,12044,11195,9820,11021,12383,12340,12675,12840,12100,11116,9343
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Gaiellales;f__Gaiellaceae",4,6,6,13,6,1,2,6,2,3,2,4,886,982,927,922,835,775,741,765,787,839,843,784,731,743
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae",43,55,61,30,25,31,27,36,38,47,48,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Aeromonadales;f__Aeromonadaceae",1,0,3,2,0,9,3,6,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae",488,487,508,526,433,430,337,401,440,453,418,363,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae",19,24,33,35,19,47,28,23,25,25,24,31,3865,3775,3682,3704,3834,4184,3373,3125,3308,3361,3472,3523,3453,3450
"d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Spirochaetaceae",0,0,0,4,0,0,2,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Gammaproteobacteria_Incertae_Sedis;f__Unknown_Family",0,2,4,0,0,0,0,3,0,0,0,0,950,1014,876,954,994,950,892,798,882,788,802,766,921,841
"d__Bacteria;p__Deinococcota;c__Deinococci;o__Deinococcales;f__Deinococcaceae",705,714,686,623,749,729,820,770,778,786,700,783,30,22,11,12,8,17,16,28,14,22,18,17,31,24
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae",68,92,76,54,31,47,67,39,38,68,49,52,4178,4215,3938,4297,4100,4820,3577,3599,3602,3575,3467,3593,3951,4007
"d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Leptotrichiaceae",23,23,16,34,26,10,34,20,40,20,27,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae",2,1,6,4,3,3,0,0,0,4,10,3,424,335,317,317,276,333,317,306,243,269,241,263,244,337
"d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae",44,34,28,46,189,115,75,67,103,75,106,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Nitrospirota;c__Nitrospiria;o__Nitrospirales;f__Nitrospiraceae",2,0,4,0,0,1,0,0,0,0,1,0,380,346,473,425,371,460,372,323,308,221,296,321,359,389
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014",2,4,2,0,10,0,0,0,8,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae",340,275,377,350,759,911,612,851,729,727,756,708,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Ilumatobacteraceae",9,3,14,1,0,4,4,2,4,1,0,0,936,848,1084,856,889,745,881,850,833,769,858,900,760,820
