"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Puniceispirillales;f__Puniceispirillales_Incertae_Sedis",0,0,0,0,0,0,0,0,0,0,0,0,1,3,9,6,2,7,11,0,3,7,0,7,4,6
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Pleomorphomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,5,9,3,2,10,4,16,0,21,6,6,9,7,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Oceanospirillales;f__Pseudohongiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,114,134,97,97,105,130,101,67,88,127,96,85,112,91
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Tepidisphaerales;f__CPla-3_termite_group",0,0,0,0,0,0,0,0,0,0,0,0,32,40,24,20,24,14,68,34,23,31,36,20,18,50
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidetes_VC2.1_Bac22;f__Bacteroidetes_VC2.1_Bac22",0,0,0,0,0,0,0,0,0,0,0,0,15,10,7,3,16,17,10,17,5,5,5,11,0,3
"d__Bacteria;p__Armatimonadota;c__Armatimonadia;o__Armatimonadales;f__Armatimonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,2,0,2,10,7,0,4,16,1,6,12
"d__Bacteria;p__Armatimonadota;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,17,18,10,8,9,12,25,27,9,7,11,15,3,20
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__UA11;f__UA11",0,0,0,0,0,0,0,0,0,0,0,0,22,21,25,7,16,6,8,17,49,35,13,23,12,5
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae",0,0,0,0,0,0,0,0,0,0,0,0,40,39,38,27,38,36,31,20,10,34,39,49,36,41
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Alicyclobacillales;f__Alicyclobacillaceae",0,0,0,0,0,0,0,0,0,0,0,0,167,128,175,139,153,179,156,169,157,140,170,162,161,142
"d__Bacteria;p__Acidobacteriota;c__Vicinamibacteria;o__Vicinamibacterales;__",0,0,0,0,0,0,0,0,0,0,0,0,11,5,6,10,8,12,21,18,7,22,0,19,26,13
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__A0839",0,0,0,0,0,0,0,0,0,0,0,0,11,6,4,6,4,6,12,1,3,4,10,3,0,3
"d__Bacteria;p__Desulfobacterota;c__uncultured;o__uncultured;f__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,19,45,34,26,29,30,21,25,17,38,48,22,13,25
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Dongiales;f__Dongiaceae",0,0,0,0,0,0,0,0,0,0,0,0,135,136,184,165,157,145,124,117,96,163,154,145,163,148
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__D05-2",0,0,0,0,0,0,0,0,0,0,0,0,11,19,12,44,16,15,29,19,6,9,7,21,8,27
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Glycomycetales;f__Glycomycetaceae",0,0,0,0,0,0,0,0,0,0,0,0,4,6,6,6,7,20,3,3,1,20,3,1,0,0
"d__Bacteria;p__Chloroflexi;c__Ktedonobacteria;o__Ktedonobacterales;f__Ktedonobacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,5,6,5,5,5,0,2,3,5,0,0,5,8,3
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Acidobacteriales;f__Koribacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,1,3,6,5,6,5,6,8,4,4,0
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodomicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,62,53,26,75,34,31,52,28,33,22,58,44,29,40
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Bogoriellaceae",0,0,0,0,0,0,0,0,0,0,0,0,24,37,18,31,24,33,10,16,17,31,13,35,19,20
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;f__Inquilinaceae",0,0,0,0,0,0,0,0,0,0,0,0,51,33,37,28,60,41,57,30,30,23,43,36,25,21
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Frankiales;f__Cryptosporangiaceae",0,0,0,0,0,0,0,0,0,0,0,0,298,387,287,291,301,285,320,294,303,317,316,329,373,291
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Magnetospiraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,2,5,0,3,1,7,4,0,10,8,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sneathiellales;f__Sneathiellaceae",0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,13,5,0,1,7,9,5,6,7,0,6
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Azospirillales;__",0,0,0,0,0,0,0,0,0,0,0,0,11,0,16,5,14,9,5,0,0,18,0,20,0,0
"d__Bacteria;p__Cyanobacteria;c__Cyanobacteriia;o__Cyanobacteriales;f__Phormidiaceae",0,0,0,0,0,0,0,0,0,0,0,0,11,14,10,22,10,11,17,21,18,20,15,18,3,15
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales",0,0,0,0,0,0,0,0,0,0,0,0,11,18,12,9,0,3,7,16,6,8,29,14,12,13
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhodobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,218,267,195,244,216,212,131,132,134,152,173,190,191,120
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__Microtrichales",0,0,0,0,0,0,0,0,0,0,0,0,21,43,38,34,37,32,42,27,42,41,31,35,39,20
