"","E1_Skin_515F_806R_03","E1_Skin_515F_806R_04","E1_Skin_515F_806R_05","E1_Skin_515F_806R_06","E1_Skin_tr515F_tr515R_01","E1_Skin_tr515F_tr515R_02","E1_Skin_tr515F_tr515R_03","E1_Skin_tr515F_tr515R_04","E1_Skin_tr515F_tr515R_05","E1_Skin_tr515F_tr515R_06","E1_Skin_tr515F_tr515R_07","E1_Skin_tr515F_tr515R_08","E2_Soil_515F_806R_03","E2_Soil_515F_806R_04","E2_Soil_515F_806R_05","E2_Soil_515F_806R_06","E2_Soil_515F_806R_07","E2_Soil_515F_806R_08","E2_Soil_tr515F_tr515R_01","E2_Soil_tr515F_tr515R_02","E2_Soil_tr515F_tr515R_03","E2_Soil_tr515F_tr515R_04","E2_Soil_tr515F_tr515R_05","E2_Soil_tr515F_tr515R_06","E2_Soil_tr515F_tr515R_07","E2_Soil_tr515F_tr515R_08"
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Xanthomonadaceae;g__Xanthomonas",43,37,44,49,30,54,31,35,40,46,34,37,6,12,7,1,9,5,7,15,7,11,0,9,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Macrococcus",7,18,4,2,0,3,7,6,0,9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Promicromonosporaceae;g__Promicromonospora",0,0,0,4,0,0,0,0,0,1,0,2,49,37,72,65,52,61,18,46,41,46,42,41,21,41
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Streptosporangiaceae;g__Thermopolyspora",0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Schlegelella",0,3,1,1,4,1,6,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Aggregatibacter",1,1,6,2,0,0,2,5,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Stomatobaculum",0,2,8,3,0,4,3,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Yersiniaceae;__",2,0,1,0,0,0,2,1,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Tepidimonas",1,1,1,3,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Finegoldia",31,33,64,75,50,42,41,36,54,37,40,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Aerococcaceae;g__Eremococcus",3,12,11,6,12,0,5,3,11,5,12,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Dermacoccaceae;g__Dermacoccus",0,5,0,0,0,8,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Cytophagaceae;g__Siphonobacter",1,0,7,4,2,2,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcales-Tissierellales;g__Fenollaria",6,9,2,6,4,0,4,15,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Aliicoccus",0,1,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;__",74,101,70,101,59,67,88,86,73,103,93,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae;g__Candidatus_Soleaferrea",0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,5,0,4,5,15,0,0,1,2,0,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Zavarzinella",0,0,0,0,0,0,0,0,0,0,0,0,609,559,621,528,564,459,924,881,882,914,814,807,954,682
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Parviterribacter",0,0,0,0,0,0,0,0,0,0,0,0,377,456,416,424,349,329,313,330,380,394,328,342,343,279
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Haliangiales;f__Haliangiaceae;g__Haliangium",0,0,0,0,0,0,0,0,0,0,0,0,1596,1607,1463,1529,1364,1646,1441,1274,1392,1518,1438,1430,1459,1427
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Labraceae;g__Labrys",0,0,0,0,0,0,0,0,0,0,0,0,255,285,291,227,208,241,256,245,262,236,285,262,239,239
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;g__Aquisphaera",0,0,0,0,0,0,0,0,0,0,0,0,69,51,77,43,61,63,85,95,63,120,79,64,64,67
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,621,572,584,574,561,519,620,515,571,507,607,519,526,573
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Gemmata",0,0,0,0,0,0,0,0,0,0,0,0,898,953,940,945,950,897,1525,1450,1462,1509,1436,1379,1293,1340
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Pedosphaeraceae",0,0,0,0,0,0,0,0,0,0,0,0,513,527,485,501,448,581,401,416,459,458,438,451,458,415
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Gemmatimonas",0,0,0,0,0,0,0,0,0,0,0,0,4707,5525,5407,5390,4940,5488,5070,5167,5178,5149,5045,5489,5543,5282
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Edaphobaculum",0,0,0,0,0,0,0,0,0,0,0,0,497,441,571,538,453,531,360,365,363,328,417,347,426,450
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__A4b;g__A4b",0,0,0,0,0,0,0,0,0,0,0,0,626,588,674,687,707,773,781,940,855,772,797,883,739,938
"d__Bacteria;p__Planctomycetota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,20,17,5,10,24,16,0,18,8,9,4,6,0,6
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micromonosporales;f__Micromonosporaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,4061,4153,3920,4299,4344,3877,3373,3692,3600,3659,4021,3657,3651,3389
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,57,115,75,68,40,95,40,55,63,41,53,85,71,76
"d__Bacteria;p__Patescibacteria;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,69,58,64,54,46,64,57,28,36,54,15,41,21,28
"d__Bacteria;p__Sumerlaeota;c__Sumerlaeia;o__Sumerlaeales;f__Sumerlaeaceae;g__Sumerlaea",0,0,0,0,0,0,0,0,0,0,0,0,133,120,74,95,111,102,119,166,124,159,160,80,197,213
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Lysinibacillus",0,0,0,0,0,0,0,0,0,0,0,0,222,186,266,222,183,214,187,187,143,187,217,152,171,157
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__ADurb.Bin063-1",0,0,0,0,0,0,0,0,0,0,0,0,31,47,67,44,52,50,63,51,29,23,25,38,29,32
"d__Bacteria;p__Firmicutes;c__Bacilli;o__Entomoplasmatales;f__type_III;g__type_III",0,0,0,0,0,0,0,0,0,0,0,0,93,82,80,124,108,98,0,3,5,7,9,0,0,10
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Diplorickettsiales;f__Diplorickettsiaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,57,51,60,60,59,99,79,44,44,113,82,57,68,57
"d__Bacteria;p__Bdellovibrionota;c__Oligoflexia;o__0319-6G20;f__0319-6G20;g__0319-6G20",0,0,0,0,0,0,0,0,0,0,0,0,324,345,354,354,349,300,344,379,257,315,340,268,286,349
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Blfdi19;f__Blfdi19;g__Blfdi19",0,0,0,0,0,0,0,0,0,0,0,0,68,46,56,51,88,54,43,22,56,50,42,57,44,46
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__Phreatobacter",0,0,0,0,0,0,0,0,0,0,0,0,3,4,8,2,5,1,3,0,0,3,2,10,2,1
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Thermomicrobiales;f__AKYG1722;g__AKYG1722",0,0,0,0,0,0,0,0,0,0,0,0,302,309,340,315,297,351,436,332,391,412,362,359,461,426
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Phaselicystidaceae;g__Phaselicystis",0,0,0,0,0,0,0,0,0,0,0,0,194,208,268,254,218,231,197,185,233,155,137,205,197,158
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,71,74,91,89,85,84,125,80,113,137,118,103,123,166
"d__Bacteria;p__Myxococcota;c__Polyangia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,38,34,36,47,38,54,21,20,54,26,29,29,32,58
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__Longimicrobiaceae",0,0,0,0,0,0,0,0,0,0,0,0,259,303,265,304,267,272,309,256,262,241,236,236,318,284
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Procabacteriaceae;g__Procabacter",0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,9,0,7,0,1,0,0,19,4,0,0
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Methylacidiphilales;f__Methylacidiphilaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,4,1,6,0,2,7,3,6,3,5,0
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Sorangium",0,0,0,0,0,0,0,0,0,0,0,0,166,164,174,158,145,145,127,128,132,125,170,172,115,96
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiales_Incertae_Sedis;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,50,41,17,36,17,29,27,41,35,15,19,22,18,24
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Endobacter",0,0,0,0,0,0,0,0,0,0,0,0,4,5,6,12,0,5,2,3,2,3,12,0,0,10
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,2998,3232,3050,3135,3355,3212,3145,2923,3053,2973,2958,3181,3104,3193
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;__;__",0,0,0,0,0,0,0,0,0,0,0,0,31,67,45,42,35,53,22,26,26,28,40,28,24,77
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Thalassobaculales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,16,10,10,4,4,7,6,8,9,3,1,10,0,8
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella",0,0,0,0,0,0,0,0,0,0,0,0,31,54,45,22,30,18,14,43,25,31,31,49,24,37
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;g__YC-ZSS-LKJ147",0,0,0,0,0,0,0,0,0,0,0,0,862,872,776,742,791,661,671,788,835,763,815,852,652,694
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__11-24;f__11-24;g__11-24",0,0,0,0,0,0,0,0,0,0,0,0,421,399,400,277,301,453,616,500,609,512,546,494,497,510
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__BIrii41;g__BIrii41",0,0,0,0,0,0,0,0,0,0,0,0,784,795,766,958,877,781,796,609,698,791,663,727,836,729
"d__Bacteria;p__Chloroflexi;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,959,1179,1100,1030,1001,1029,1430,1449,1523,1444,1281,1444,1357,1462
"d__Bacteria;p__Firmicutes;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus",0,0,0,0,0,0,0,0,0,0,0,0,4,16,3,5,1,8,7,4,4,0,3,16,7,7
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Hymenobacteraceae;g__Pontibacter",0,0,0,0,0,0,0,0,0,0,0,0,57,29,52,27,38,50,30,30,7,26,49,44,42,44
"d__Archaea;p__Nanoarchaeota;c__Nanoarchaeia;o__Woesearchaeales;f__Woesearchaeales;g__Woesearchaeales",0,0,0,0,0,0,0,0,0,0,0,0,8,10,13,6,0,6,8,11,9,5,7,0,12,3
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rickettsiales;f__SM2D12;g__SM2D12",0,0,0,0,0,0,0,0,0,0,0,0,45,33,51,45,40,29,24,41,38,23,32,42,36,29
"d__Bacteria;p__Acidobacteriota;c__Blastocatellia;o__Blastocatellales;f__Blastocatellaceae;g__JGI_0001001-H03",0,0,0,0,0,0,0,0,0,0,0,0,181,151,191,164,180,185,187,163,222,263,203,308,170,216
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Pedomicrobium",0,0,0,0,0,0,0,0,0,0,0,0,65,49,83,67,62,43,78,48,68,56,52,98,38,79
"d__Bacteria;p__Armatimonadota;c__Chthonomonadetes;o__Chthonomonadales;f__Chthonomonadales;g__Chthonomonadales",0,0,0,0,0,0,0,0,0,0,0,0,86,89,75,77,68,108,132,141,85,94,89,60,92,135
"d__Bacteria;p__Chloroflexi;c__Chloroflexia;o__Kallotenuales;f__AKIW781;g__AKIW781",0,0,0,0,0,0,0,0,0,0,0,0,741,656,760,724,805,791,770,698,700,779,829,637,710,842
"d__Bacteria;p__Firmicutes;c__Clostridia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,6,4,7,3,13,5,1,0,3,0,0,2,0,0
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,102,134,97,106,117,109,96,76,60,86,112,140,99,97
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;__",0,0,0,0,0,0,0,0,0,0,0,0,172,168,207,190,178,155,183,274,202,213,270,249,262,226
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Fimbriiglobus",0,0,0,0,0,0,0,0,0,0,0,0,127,111,120,110,119,99,178,158,103,154,162,151,168,183
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,332,273,318,272,324,362,287,226,255,263,261,219,196,361
"d__Bacteria;p__Myxococcota;c__Polyangia;o__mle1-27;f__mle1-27;g__mle1-27",0,0,0,0,0,0,0,0,0,0,0,0,186,215,176,163,181,233,147,136,163,192,115,88,163,128
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinocorallia",0,0,0,0,0,0,0,0,0,0,0,0,214,192,191,216,172,241,199,202,205,180,193,178,203,202
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,46,31,60,39,39,76,13,14,40,36,34,24,30,24
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Acidiferrobacterales;f__Acidiferrobacteraceae;g__Sulfurifustis",0,0,0,0,0,0,0,0,0,0,0,0,3,9,4,5,4,0,3,13,2,6,7,0,0,17
"d__Bacteria;p__Acidobacteriota;c__Holophagae;o__Subgroup_7;f__Subgroup_7;g__Subgroup_7",0,0,0,0,0,0,0,0,0,0,0,0,670,645,637,603,720,688,601,639,646,593,561,638,659,663
"d__Bacteria;p__Bdellovibrionota;c__Bdellovibrionia;o__Bdellovibrionales;f__Bdellovibrionaceae;g__OM27_clade",0,0,0,0,0,0,0,0,0,0,0,0,93,97,110,128,96,120,128,73,97,98,82,107,124,94
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Caulobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,150,142,193,137,161,123,147,102,128,104,137,142,171,121
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Cellulomonadaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,24,22,13,12,17,12,8,12,20,27,17,15,15,12
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__Conexibacter",0,0,0,0,0,0,0,0,0,0,0,0,628,733,789,650,604,487,554,625,655,663,649,574,626,490
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,202,220,226,166,170,168,222,300,335,229,283,327,272,209
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Gemmatales;f__Gemmataceae;g__Telmatocola",0,0,0,0,0,0,0,0,0,0,0,0,12,8,24,15,1,5,7,10,0,0,11,11,5,0
"d__Bacteria;p__Planctomycetota;c__Planctomycetes;o__Isosphaerales;f__Isosphaeraceae;__",0,0,0,0,0,0,0,0,0,0,0,0,2132,2275,2094,1983,2048,1638,2917,2840,3317,3027,2870,2618,2533,2221
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;g__Roseisolibacter",0,0,0,0,0,0,0,0,0,0,0,0,2652,2978,2670,2808,2713,2524,2338,2646,2803,2948,2745,2575,2655,2430
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium_sensu_stricto_10",0,0,0,0,0,0,0,0,0,0,0,0,12,2,9,7,3,9,6,10,0,8,7,4,7,20
"d__Bacteria;p__Gemmatimonadota;c__Gemmatimonadetes;o__Gemmatimonadales;f__Gemmatimonadaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,2689,2725,2895,2799,2942,2918,2805,2639,2757,2705,2782,2796,2714,2603
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales;f__Microbacteriaceae;g__Rathayibacter",0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,2,0,13,0,4,8,0,18,10
"d__Bacteria;p__Actinobacteriota;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,128,160,134,87,103,110,95,80,120,128,103,104,137,108
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Pedosphaerales;f__Pedosphaeraceae;g__Ellin517",0,0,0,0,0,0,0,0,0,0,0,0,112,130,133,136,92,177,123,119,101,96,97,109,145,118
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Microscillaceae;g__Ohtaekwangia",0,0,0,0,0,0,0,0,0,0,0,0,490,448,480,501,387,492,322,371,338,322,379,293,434,431
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__Caldilineales;f__Caldilineaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,373,281,371,377,326,375,463,509,498,404,348,284,371,450
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__env.OPS_17;g__env.OPS_17",0,0,0,0,0,0,0,0,0,0,0,0,174,203,164,176,147,200,109,168,149,126,136,112,172,99
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__P3OB-42",0,0,0,0,0,0,0,0,0,0,0,0,38,41,36,54,52,29,44,41,29,34,41,30,38,34
"d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Uliginosibacterium",0,0,0,0,0,0,0,0,0,0,0,0,55,48,53,62,45,52,45,44,33,50,46,50,50,70
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter",0,0,0,0,0,0,0,0,0,0,0,0,203,221,221,232,213,181,226,189,189,144,135,159,165,214
"d__Bacteria;p__Chloroflexi;c__Anaerolineae;o__SBR1031;f__SBR1031;g__SBR1031",0,0,0,0,0,0,0,0,0,0,0,0,280,259,315,275,286,301,392,379,346,389,322,313,370,375
"d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,124,85,72,59,97,90,107,85,55,65,83,88,43,69
"d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Aetherobacter",0,0,0,0,0,0,0,0,0,0,0,0,55,40,91,52,67,52,38,57,60,56,40,57,57,71
"d__Bacteria;p__Actinobacteriota;c__Thermoleophilia;o__Solirubrobacterales;f__Solirubrobacteraceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,65,23,77,55,48,54,50,34,30,35,26,45,83,43
"d__Bacteria;p__Planctomycetota;c__BD7-11;o__BD7-11;f__BD7-11;g__BD7-11",0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,4,0,3,9,11,13,3,10,3,5,4
"d__Bacteria;p__Myxococcota;c__Polyangia;o__VHS-B3-70;f__VHS-B3-70;g__VHS-B3-70",0,0,0,0,0,0,0,0,0,0,0,0,15,28,8,11,16,39,37,18,17,10,8,25,5,7
"d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales;f__S32;g__TM7",0,0,0,0,0,0,0,0,0,0,0,0,65,45,46,46,76,58,72,41,40,51,81,66,31,53
"d__Bacteria;p__Elusimicrobiota;c__Elusimicrobia;o__MVP-88;f__MVP-88;g__MVP-88",0,0,0,0,0,0,0,0,0,0,0,0,16,13,8,15,13,9,6,13,20,10,5,5,0,24
"d__Bacteria;p__Patescibacteria;c__Parcubacteria;o__Parcubacteria;f__Parcubacteria;g__Parcubacteria",0,0,0,0,0,0,0,0,0,0,0,0,38,36,25,32,23,24,2,3,2,0,0,0,0,0
"d__Bacteria;p__Myxococcota;c__bacteriap25;o__bacteriap25;f__bacteriap25;g__bacteriap25",0,0,0,0,0,0,0,0,0,0,0,0,1328,1253,1369,1296,1293,1402,1222,1297,1228,1110,1225,1327,1373,1303
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,1099,1060,1124,1007,1055,1061,886,866,819,974,911,749,935,992
"d__Bacteria;p__Abditibacteriota;c__Abditibacteria;o__Abditibacteriales;f__Abditibacteriaceae;g__Abditibacterium",0,0,0,0,0,0,0,0,0,0,0,0,73,58,57,42,31,69,47,63,29,35,18,40,59,33
"d__Bacteria;p__Proteobacteria;__;__;__;__",0,0,0,0,0,0,0,0,0,0,0,0,11,5,10,9,11,21,9,1,2,1,14,4,8,3
"d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales;f__Parachlamydiaceae;g__Candidatus_Protochlamydia",0,0,0,0,0,0,0,0,0,0,0,0,20,10,12,18,12,33,0,1,0,3,7,0,0,1
"d__Bacteria;p__Acidobacteriota;c__Acidobacteriae;o__Solibacterales;f__Solibacteraceae;g__Candidatus_Solibacter",0,0,0,0,0,0,0,0,0,0,0,0,359,432,429,436,383,356,117,144,140,113,151,140,148,163
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,70,58,83,47,65,88,89,66,71,68,64,56,66,90
"d__Bacteria;p__Actinobacteriota;c__Acidimicrobiia;o__Microtrichales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,787,728,616,656,731,618,609,629,665,618,679,598,514,473
"d__Bacteria;p__Planctomycetota;c__Phycisphaerae;o__Phycisphaerales;f__Phycisphaeraceae;g__SM1A02",0,0,0,0,0,0,0,0,0,0,0,0,45,27,27,38,33,25,13,11,18,17,13,16,10,37
"d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__uncultured;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,214,222,202,228,273,214,192,226,143,223,236,210,246,227
"d__Bacteria;p__Entotheonellaeota;c__Entotheonellia;o__Entotheonellales;f__Entotheonellaceae;g__Entotheonellaceae",0,0,0,0,0,0,0,0,0,0,0,0,556,561,532,585,436,646,503,492,512,494,530,518,556,585
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Anaeromyxobacteraceae;g__Anaeromyxobacter",0,0,0,0,0,0,0,0,0,0,0,0,237,206,246,261,206,221,202,163,229,206,199,169,234,181
"d__Bacteria;p__Dependentiae;c__Babeliae;o__Babeliales;f__Vermiphilaceae;g__Vermiphilaceae",0,0,0,0,0,0,0,0,0,0,0,0,5,8,5,2,14,10,0,3,0,14,5,7,2,5
"d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Euzebyales;f__Euzebyaceae;g__uncultured",0,0,0,0,0,0,0,0,0,0,0,0,5,8,7,6,8,4,9,4,11,8,11,2,6,8
"d__Bacteria;p__Gemmatimonadota;c__Longimicrobia;o__Longimicrobiales;f__Longimicrobiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,23,34,46,30,31,23,29,43,27,49,36,79,30,56
"d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;__",0,0,0,0,0,0,0,0,0,0,0,0,11,14,29,12,7,12,23,20,10,12,24,21,19,21
"d__Bacteria;p__Myxococcota;c__Myxococcia;o__Myxococcales;f__Myxococcaceae;g__KD3-10",0,0,0,0,0,0,0,0,0,0,0,0,39,15,30,28,31,24,19,40,16,26,22,22,40,28
"d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Verrucomicrobiaceae;g__Prosthecobacter",0,0,0,0,0,0,0,0,0,0,0,0,6,13,3,20,2,16,15,12,5,17,12,3,15,5
